"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Tsu Src"	"Earthquake Magnitude"	"Vol"	"More Info"	"Doubtful Runup"	"Country"	"Area"	"Location Name"	"Latitude"	"Longitude"	"Distance From Source (km)"	"Initial Wave Arrival Day"	"Initial Wave Arrival Hour"	"Initial Wave Arrival Minute"	"Travel Hours"	"Travel Minutes"	"Max Wave Arrival Day"	"Max Wave Arrival Hour"	"Max Wave Arrival Minute"	"Maximum Water Height (m)"	"Max Inundation Distance (m)"	"Measurement Type"	"Period"	"First Motion"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage $Mil"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"PUSAN"	35.099358	129.035408	1229.485	13	1	35						0.12		2	18.5													
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SACHUNJIN"	37.835	128.87916667	1037.462									1.46		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SAJIN"	38.22333333	128.59027778	1034.019									2.22		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"HOSAN"	37.16111111	129.35	1050.501									1.38		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"BUGU"	37.1	129.37555556	1053.142									2.57		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"ABURA"	42.5	139.85	66.221									5.6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"IRIKA"	43.367	140.483	119.343									2.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KAITORIMA"	42.067	139.433	89.225									6.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KOBECHANAIBASHI"	42.747	140.145	78.408									5.8		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MATSUMAE"	41.417	140.1	175.908									1.06		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MOMBETSU"	44.35	143.367	375.571									0.1		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"KYOTO"	"MAIZURU"	35.483	135.383	881.638									0.51		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NAGASAKI"	"IZUHARA"	34.2	129.3	1289.269									0.21		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"NIIGATAKO (HIGASHI)"	37.983	139.217	540.559									0.33		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"NIIGATAOOZEKI"	37.9	139	550.023									0.96		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"SAGA"	"KARATSUKO"	33.467	129.967	1317.058											2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"YAMAGATA"	"SAKATA"	38.917	139.817	439.988									0.56		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"AOMORI"	40.833	140.767	259.298									0.26		2			1	1										
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"ULLEUNG-DO ISLAND"	37.5	130.85	925.722	12	23	46						0.47		2	5.4													
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"SAKHALIN"	"KAMENKA, SAKHALIN ISLAND"	46.4	142.3333	466.26									2.79	15	5														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SAMCHUK BEACH"	37.46666667	129.16944444	1041.544									2.15		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"DAEPO"	38.1725	128.61	1035.672									1.63		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"GISAMUN"	38.00638889	128.73333333	1037.008									2.26		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"CHUAM"	37.47222222	129.16527778	1041.453									1.77		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"POHANG"	36.032222	129.365	1134.118									0.92		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"KASHIWAZAKIKO"	37.367	138.533	611.546									0.54		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"NOZUMI"	37.667	138.783	576.704									0.5		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"FUKUI"	"TSURUGAKO (KEN)"	35.65	136.25	838.8									0.35		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"FUKUOKA"	"MOJI"	33.95	130.967	1220.546									0.17		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"AINUMA"	42.068	140.053	111.902									0.09		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"ISHIKARIWANSHINKO"	43.217	141.317	177.486									0.26		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KAMINOKUNIKO"	41.801	140.069	137									3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KIYOBEKO"	41.517	140.001	162.38									1.6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OOSAKI"	41.801	140.069	137									2.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OSHORO"	43.2	140.867	141.528									0.5		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"TOYOHAMA"	42.035	140.084	116.367									6.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"HIMEKAWAKO"	37.033	137.833	656.4									0.26		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"MATSUGASAKI"	37.95	139.15	544.234									0.26		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MURORAN"	42.35	140.95	154.25									0.09		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"SHIMANE"	"MISUMI"	34.767	131.917	1096.834									0.54		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"TOYAMA"	"TOYAMASHINKO"	36.767	137.117	698.534									0.11		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SAKAEHAMAGYOKO"	42.683	139.885	59.324									6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"ENGELM CAPE"	43.208	132.17	573.916									2.2	15	1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"		"ZERKALNAYA"												2.34	146	5														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SANCHOK"	37.45	129.165	1042.997									1		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"TETYUKHE, RUDNAYA"	44.364	135.818	320.39									3.78	140	5														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SAMCHUK PORT"	37.43611111	129.2	1041.521									1.86		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"GUNGCHON"	37.28333333	129.30833333	1044.685									1.74		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"JUKYBUN"	37.05	129.42777778	1053.22									1.43		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"NAKHODKA"	42.816667	132.883333	516.101									1		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"		"PRIMORYE REGION"												6		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HAMATSUMAE"	42.07	139.47	89.614									19		1			32	1						1	36	1		
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"MUTSUOGAWARA"	40.933	141.4	280.709									0.07		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"OMINATO"	41.25	141.15	240.326									0.35		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"GORINSAWA"	41.95	140.134	126.362									2.7		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KIYOBEKO"	41.517	140.001	162.38									0.8		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KUTSUGATAKO"	45.183	141.15	302.736									0.8		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MASHIKE"	43.85	141.533	219.505									1.1		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OTOBEGYOKO"	41.967	140.133	124.814									2		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SHIRAGAMI"	41.419	140.068	174.599									1.1		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"UTOROKO"	44.067	145	488.568									0.22		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"TERADOMARIKO"	37.65	138.767	578.672									0.51		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SOUTH OF MONAI, OKUSHIRI ISLAND"	42.09	139.43	86.678									9.35		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SOUTH OF OKUSHIRI, OKUSHIRI ISLAND"	42.14	139.52	83.324									1.7		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HATSUMATSUMAE, OKUSHIRI ISLAND"	42.07	139.48	89.823									5.35		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"TOTTORI"	"TAJIRI"	35.583	134.317	909.907									0.14		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"YAMAGUCHI"	"DESHIMATSU"	33.917	130.933	1225.333											2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"SAKHALIN"	"KAMENKA, SAKHALIN ISLAND"	46.4	142.3333	466.26											1										1				
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OTA BAY"	42.27	139.78	80.358									9		1										1	5	1		
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"ULSAN"	35.53	129.35	1175.012	13	0	33						0.16		2	29.7													
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HOKKAIDO"	44	143	333.32									10		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"GUMJIN"	37.64972222	129.0525	1037.345									1.17		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"DONGHAE"	37.49	129.14444444	1041.689									1.76		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"ULLEUNGDO"	37.5	130.866667	924.636									1		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"FUKUI"	"MIKUNI"	36.25	136.15	778.119									0.03		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"ABASHIRI"	44.017	144.283	431.597									0.07		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"GENNA"	42.001	140.101	120.205									1.6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KINOKO"	41.753	140.068	141.538									0.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"NAGATOYO-TOKOTAN"	42.708	140.07	73.184									5.7		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"ORITO"	41.402	140.168	179.86									1.1		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OTOBE"	41.953	140.133	126.047									1.8		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SHIOFUKI"	41.734	140.05	142.628									1.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"TOYOHAMA-KARUUSUKO"	42.728	140.088	74.17									4.4		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"UDOMARI"	42.35	139.784	73.607									6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"YOSHIOKA"	41.45	140.25	178.3									1.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"ISHIKAWA"	"WAJIMA"	37.4	136.9	636.07									0.97		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"NORTH OF MONAI, OKUSHIRI ISLAND"	42.15	139.42	79.997									6.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"NORTH OF OKUSHIRI, OKUSHIRI ISLAND"	42.19	139.52	78.076									1.7		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"INAHO, OKUSHIRI ISLAND"	42.25	139.55	72.785									4.95		1			13	1						2		3		3
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"ALL OF SOUTH KOREA"														1									0.5	1				
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HOKKAIDO PREFECTURE"														1									179	4				
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OKUSHIRI, OKUSHIRI ISLAND"	42.17	139.52	80.17									32		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"SAKHALIN"	"NEVEL'SK, SAKHALIN"	46.67	141.855	473.634									0.55		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"		"BELKIN"												0.6		5														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"NAKHODKA"	42.816667	132.883333	516.101									5		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"SAKHALIN"	"SOUTHERN SAKHALIN"	49	143	744.156									4		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"GEOJIN"	38.44555556	128.46138889	1030.296									0.81		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"NAMAE"	37.94138889	128.78833333	1037.15									1.26		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"MUKHO"	37.54722222	129.11833333	1039.619									1.99		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"KANGKEUNG"	37.76	128.9	1040.858									1.1		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AKITA"	"FUNAGAWAKO"	39.867	139.85	335.877									0.56		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"TAPPI"	41.25	141.383	253.701									0.09		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"FUKUI"	"FUKUIKO (KEN)"	36.217	136.133	782.078									0.48		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"FUKUOKA"	"HAKATA"	33.617	130.4	1280.498											2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"BIYA"	42.536	139.835	62.91									5.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HAKODATE"	41.7187	140.7247	178.029									0.35		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HARAUTA"	42.683	139.983	66.985									8.51		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"IWANAIKO"	42.983	140.5	107.395	12	13	37						1.42		2		"R"												
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KUMAISHIKO"	42.133	140.983	167.085									2.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OSHIDOMARIKO"	45.25	141.223	312.089									1.2		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"RUMOIKO"	43.95	141.633	232.043									0.81		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"TOYOHAMA"	42.035	140.084	116.367									1.6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"UTASHIMAGYOKO"	42.778	140.153	78.606									4.6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"WAKKANAI"	45.4	141.683	346.095									0.44		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HYOGO"	"TSUIYAMA"	35.65	134.833	883.43									0.37		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"KYOTO"	"MAIZURU (SUIROBU)"	35.45	135.317	887.194									0.45		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"NAOETSUKO"	37.183	138.25	634.506									0.45		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SOUTH OF INAHO, OKUSHIRI ISLAND"	42.21	139.55	76.884									1.65		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"IWAFUNEKO"	38.183	139.433	518.742									0.8		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"TOTTORI"	"SAKAI"	35.55	133.25	959.025									0.37		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"TAISEIKO"	42.218	139.838	87.849									4		1			9	1	1	1	2	1		1		1		1
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"GORNOSTAI BAY"	43.115	132.01	586.749									1.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SOUTH OF MONAI, OKUSHIRI ISLAND"	42.08	139.43	87.762									11.4		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"POHANG"	36.03	129.38	1133.334	13	1	20						0.3		2	21													
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"INAHO, OKUSHIRI ISLAND"	42.234	139.551	74.452									4.95		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"OSAN"	38.08833333	128.66583333	1036.785									1.26		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"NAKHODKA"	42.816667	132.883333	516.101									5		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"JANGHO"	37.29166667	129.31111111	1043.909									1.41		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"NORTH KOREA"		"CHONGJIN PORT"	41.8	129.783333	784.246									2.1		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"MUGHO"	37.550278	129.116389	1039.548									2.77		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"		"V. PREOBRAZHENYE"	42.9	133.9	432.756									1.25		5														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"		"ALL OF RUSSIA"														1									10	3				
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AKITA"	"OGA"	39.933	139.7	326.795									0.5		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"ASAMUSHI"	40.9	140.867	257.235									0.16		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AOMORI"	"HACHINOHE"	40.533	141.533	322.616									0.05		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"SHIMANE"	"SAIGO"	36.2	133.333	893.61									0.29		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KAMOENAI"	43.133	140.433	105.553									3.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"KUDO"	42.218	139.838	87.849									5.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"OTARUKO"	43.167	141.033	153.745									0.21		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"SAKAE"	41.986	140.118	122.385									2.9		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"YOSHIOKA"	41.45	140.25	178.3									0.87		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"ISHIKAWA"	"KANAZAWA"	36.617	136.6	726.975											2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NAGASAKI"	"GONOURA"	33.733	129.683	1308.555									0.15		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"AWASHIMA"	38.467	139.267	486.868									0.71		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"NIIGATA"	"OGI"	37.817	138.283	564.34									0.34		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MONAI, OKUSHIRI ISLAND"	42.1	139.433	85.65									6.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"MUENIWA-CAMPSITE, OKUSHIRI ISLAND"	42.12	139.43	83.43									15.3		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"AKITA"	"AKITAKO"	39.9	140.067	335.72									0.33		2														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"SOBOL BAY"	43.078	131.96	590.806									1.5		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"JAPAN"	"HOKKAIDO"	"HORONAI, OKUSHIRI ISLAND"	42.191	139.424	75.651									6		1														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"RUSSIA"	"PRIMORSKY"	"VLADIVOSTOK"	43.165	131.9	595.759									2		4			3	1						1				
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SOKCHO"	38.20388889	128.59722222	1034.692									0.91		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"SUSAN"	38.09166667	128.65277778	1037.528									1.85		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"GANGMUN"	37.79388889	128.91944444	1037.259									1.87		4														
	1993	7	12	13	17	11.9	4	1	2219	7.7			"n"	"SOUTH KOREA"		"OBUNRI"	37.43333333	129.2	1041.712									1.1		4														
